"","name"
"0","Aaron D. Likens"
"1","Agneta Gulz"
"2","Ahcène Boubekki"
"3","Ahmad Y. Javaid"
"4","Ahmed Hadj Kacem"
"5","Alex Gerdes"
"6","Alex Kindel"
"7","Alexander Keidel"
"8","Alexandra González-Eras"
"9","Alisa Krivokapic"
"10","Alison Brauneis"
"11","Allison J. Jaeger"
"12","Amy L. Baylor"
"13","Amy M. Johnson"
"14","Amy Ogan"
"15","Ana Paiva"
"16","Ananya Poddar"
"17","Anastacia MacAllister"
"18","André Mayers"
"19","Andy Saltarelli"
"20","Anis Kalboussi"
"21","Anna Slavina"
"22","Anne M. Sinatra"
"23","Annika Silvervarg"
"24","Antonija Mitrovic"
"25","Antonio Sanchez-Ruiz"
"26","Arash Karami"
"27","Ardhendu Behera"
"28","Armanda Lewis"
"29","Arthur C. Graesser"
"30","Arvid Kappas"
"31","Avelino J. Gonzalez"
"32","Ayesha Madni"
"33","B. Barros"
"34","B. Parsia"
"35","Barbara Di Eugenio"
"36","Bastiaan Heeren"
"37","Beata Beigman Klebanov"
"38","Behrooz Mostafavi"
"39","Benedict du Boulay"
"40","Benjamin D. Nye"
"41","Benjamin Goldberg"
"42","Benjamin Paaßen"
"43","Benjamín Valdés Aguirre"
"44","Benno Stein"
"45","Betty Tärning"
"46","Bijan Parsia"
"47","Birgit Endrass"
"48","Bradford W. Mott"
"49","Brandan Lanman"
"50","Brandon M. Stewart"
"51","Brendan Barstow"
"52","Bruce M. McLaren"
"53","Bryan Wilder"
"54","C. Shawn Burke"
"55","Candace Walkington"
"56","Carlotta Schatten"
"57","Carmel Kent"
"58","Carolyn Penstein Rosé"
"59","Catherine C. Chase"
"60","Charles Amburn"
"61","Charlie Ragusa"
"62","Chee-Kit Looi"
"63","Chris Mellish"
"64","Christian D. Schunn"
"65","Christian Rapp"
"66","Christian Schunn"
"67","Christopher Doble"
"68","Christopher Walls"
"69","Chun-Kit Yeung"
"70","Claire E. Stevenson"
"71","Claude Frasson"
"72","Clayton Barham"
"73","Colette Hume"
"74","Cristina Conati"
"75","Cristina Hava Muntean"
"76","Cynthia Howard"
"77","Daniel Borges"
"78","Daniel L. Schwartz"
"79","Daniel M. Russell"
"80","Daniel Rees Lewis"
"81","Danielle McNamara"
"82","Danielle S. McNamara"
"83","Dar-Wei Chen"
"84","David A. Malek"
"85","David E. Pritchard"
"86","Deanne M. Adams"
"87","Desmond Bonner"
"88","Diane Litman"
"89","Diego Dermeval"
"90","Dit-Yan Yeung"
"91","Dolores Perin"
"92","Donald M. Morrison"
"93","Doris B. Chin"
"94","Douglas C. Hodge"
"95","Douglas Selent"
"96","Dragan Gašević"
"97","Dustin Tingley"
"98","Dylan Blaum"
"99","Eduardo Guzmán"
"100","Eduardo Salas"
"101","Edward F. Gehringer"
"102","Elaine Wang"
"103","Eliane S. Wiese"
"104","Eliot Winer"
"105","Elisabeth Andre"
"106","Elizabeth M. Gerber"
"107","Emma Brunskill"
"108","Emmanuel Ayedoun"
"109","Emmanuel G. Blanchard"
"110","Engin Bumbacher"
"111","Enruo Guo"
"112","Eric Cosyn"
"113","Eric G. Van Inwegen"
"114","Eric N. Wiebe"
"115","Erica L. Snow"
"116","Erin Walker"
"117","Evelyn Yarzebinski"
"118","Fabiano Dorça"
"119","Fabrice Popineau"
"120","Foteini Grivokostopoulou"
"121","G. Donato"
"122","G. Kurdi"
"123","G. Tanner Jackson"
"124","Gabriel Beaulieu"
"125","Gaurav Gite"
"126","Geela Venise Firmalo Fabic"
"127","Gerhard Weber"
"128","GertJan Hofstede"
"129","Ghader Kurdi"
"130","Giles Westerfield"
"131","Giora Alexandron"
"132","Gordon McCalla"
"133","Greg Chung"
"134","H. Chad Lane"
"135","Hajime Kuwata"
"136","Hanlung Lin"
"137","Hasan Uzun"
"138","Helena Connolly"
"139","Helmut Prendinger"
"140","Hui Fang"
"141","Huy Nguyen"
"142","I-Ling Cheng"
"143","Ido Roll"
"144","Ig Ibert Bittencourt"
"145","Ilya Goldin"
"146","Ingmar H. Riedel-Kruse"
"147","Ioana Ghergulescu"
"148","Ioannis Hatzilygeroudis"
"149","Irina Pandarova"
"150","Iryna Gurevych"
"151","Isidoros Perikos"
"152","J. D. Fletcher"
"153","J. Leo"
"154","Jacqueline Bourdeau"
"155","James C. Lester"
"156","James Lester"
"157","James R. Hollister"
"158","Jared Leo"
"159","Jason Leigh"
