"","word","sentiment","n"
"1","difficulty","negative",18
"2","grounded","negative",13
"3","argument","negative",12
"4","complexity","negative",12
"5","negative","negative",12
"6","frustration","negative",11
"7","confusion","negative",9
"8","challenge","negative",8
"9","intervention","negative",8
"10","influence","negative",7
"11","dependent","negative",6
"12","erroneous","negative",6
"13","boredom","negative",5
"14","conflict","negative",5
"15","fake","negative",5
"16","serve","negative",5
"17","argue","negative",4
"18","discipline","negative",4
"19","diverse","negative",4
"20","limited","negative",4
"21","scheme","negative",4
"22","bias","negative",3
"23","delayed","negative",3
"24","demand","negative",3
"25","diagnosis","negative",3
"26","difficulties","negative",3
"27","error","negative",3
"28","gap","negative",3
"29","ill","negative",3
"30","regression","negative",3
"31","rifle","negative",3
"32","struggle","negative",3
"33","wicked","negative",3
"34","actionable","negative",2
"35","capture","negative",2
"36","constraint","negative",2
"37","cross","negative",2
"38","emergency","negative",2
"39","foreign","negative",2
"40","hidden","negative",2
"41","ignore","negative",2
"42","inattention","negative",2
"43","incorrect","negative",2
"44","irrelevant","negative",2
"45","lack","negative",2
"46","late","negative",2
"47","lower","negative",2
"48","opposed","negative",2
"49","rating","negative",2
"50","subject","negative",2
"51","superficial","negative",2
"52","versus","negative",2
"53","abandonment","negative",1
"54","aberrant","negative",1
"55","abundance","negative",1
"56","abuse","negative",1
"57","anger","negative",1
"58","anonymous","negative",1
"59","anxiety","negative",1
"60","apprehension","negative",1
"61","appropriation","negative",1
"62","armed","negative",1
"63","biased","negative",1
"64","blind","negative",1
"65","bottom","negative",1
"66","carelessness","negative",1
"67","cold","negative",1
"68","combat","negative",1
"69","competition","negative",1
"70","constrained","negative",1
"71","contrary","negative",1
"72","contrasted","negative",1
"73","detrimental","negative",1
"74","disagree","negative",1
"75","disconnect","negative",1
"76","disgust","negative",1
"77","dominant","negative",1
"78","evade","negative",1
"79","examination","negative",1
"80","exclusion","negative",1
"81","execution","negative",1
"82","expenses","negative",1
"83","exposed","negative",1
"84","failing","negative",1
"85","fall","negative",1
"86","fear","negative",1
"87","force","negative",1
"88","government","negative",1
"89","hearing","negative",1
"90","heavily","negative",1
"91","illness","negative",1
"92","immediately","negative",1
"93","inaccessible","negative",1
"94","infrequently","negative",1
"95","instigate","negative",1
"96","intrusion","negative",1
"97","laborious","negative",1
"98","lacking","negative",1
"99","latent","negative",1
"100","lessen","negative",1
"101","mismatch","negative",1
"102","missing","negative",1
"103","mother","negative",1
"104","neglected","negative",1
"105","neurotic","negative",1
"106","noisy","negative",1
"107","opposition","negative",1
"108","plagiarism","negative",1
"109","player","negative",1
"110","pose","negative",1
"111","quiz","negative",1
"112","remains","negative",1
"113","rigorous","negative",1
"114","risk","negative",1
"115","sadness","negative",1
"116","shed","negative",1
"117","skip","negative",1
"118","split","negative",1
"119","strained","negative",1
"120","temptation","negative",1
"121","threat","negative",1
"122","unconscious","negative",1
"123","uncontrolled","negative",1
"124","unexpected","negative",1
"125","unforgiving","negative",1
"126","unknown","negative",1
"127","words","negative",1
