"article.title","journal.title","journal.volume","pageStart","pageEnd","publication.year","citation","abstract"
"Teaching the Teacher: Tutoring SimStudent Leads to More Effective Cognitive Tutor Authoring","International Journal of Artificial Intelligence in Education","volume25","1","34","2015","Matsuda, N., Cohen, W.W. & Koedinger, K.R. Teaching the Teacher: Tutoring SimStudent Leads to More Effective Cognitive Tutor Authoring. Int J Artif Intell Educ 25, 1–34 (2015). https://doi.org/10.1007/s40593-014-0020-1","SimStudent is a machine-learning agent initially developed to help novice authors to create cognitive tutors without heavy programming. Integrated into an existing suite of software tools called Cognitive Tutor Authoring Tools (CTAT), SimStudent helps authors to create an expert model for a cognitive tutor by tutoring SimStudent on how to solve problems. There are two different ways to author an expert model with SimStudent. In the context of Authoring by Tutoring, the author interactively tutors SimStudent by posing problems to SimStudent, providing feedback on the steps performed by SimStudent, and also demonstrating steps as a response to SimStudent’s hint requests when SimStudent cannot perform steps correctly. In the context of Authoring by Demonstration, the author demonstrates solution steps, and SimStudent attempts to induce underlying domain principles by generalizing those worked-out examples. We conducted evaluation studies to investigate which authoring strategy better facilitates authoring and found two key results. First, the expert model generated with Authoring by Tutoring is better and has higher accuracy while maintaining the same level of completeness than the one generated with Authoring by Demonstration. The reason for this better accuracy is that the expert model generated by tutoring benefits from negative feedback provided for SimStudent’s incorrect production applications. Second, authoring by Tutoring requires less time than Authoring by Demonstration. This enhanced authoring efficiency is partially because (a) when Authoring by Demonstration, the author needs to test the quality of the expert model, whereas the formative assessment of the expert model is done naturally by observing SimStudent’s performance when Authoring by Tutoring, and (b) the number of steps that need to be demonstrated during tutoring decreases as learning progresses."
"Narrative Balance Management in an Intelligent Biosafety Training Application for Improving User Performance","International Journal of Artificial Intelligence in Education","volume25","35","59","2015","Alvarez, N., Sanchez-Ruiz, A., Cavazza, M. et al. Narrative Balance Management in an Intelligent Biosafety Training Application for Improving User Performance. Int J Artif Intell Educ 25, 35–59 (2015). https://doi.org/10.1007/s40593-014-0022-z","The use of three-dimensional virtual environments in training applications supports the simulation of complex scenarios and realistic object behaviour. While these environments have the potential to provide an advanced training experience to students, it is difficult to design and manage a training session in real time due to the number of parameters to pay attention to: timing of events, difficulty, user’s actions and their consequences or eventualities are some examples. For that purpose, we have extended our virtual Bio-safety Laboratory application used for training biohazard procedures with a Narrative Manager. The Narrative Manager controls the simulation deciding which events will take place in the simulation, and when, by controlling the narrative balance of the session. Our hypothesis is that the Narrative Manager allows us to increase the number of tasks for the user to solve and, due to balancing difficulty and intensity, it keeps the user interested in training. When evaluating our system we observed that the Narrative Manager effectively introduces more tasks for the user to solve, and despite that, is accepted by the users as more interesting and not harder than an identical system without a Narrative Manager. Also, a knowledge test demonstrated better results in users’ interest and learning output in the narrative condition."
"The Eras and Trends of Automatic Short Answer Grading","International Journal of Artificial Intelligence in Education","volume25","60","117","2015","Burrows, S., Gurevych, I. & Stein, B. The Eras and Trends of Automatic Short Answer Grading. Int J Artif Intell Educ 25, 60–117 (2015). https://doi.org/10.1007/s40593-014-0026-8","Automatic short answer grading (ASAG) is the task of assessing short natural language responses to objective questions using computational methods. The active research in this field has increased enormously of late with over 80 papers fitting a definition of ASAG. However, the past efforts have generally been ad-hoc and non-comparable until recently, hence the need for a unified view of the whole field. The goal of this paper is to address this aim with a comprehensive review of ASAG research and systems according to history and components. Our historical analysis identifies 35 ASAG systems within 5 temporal themes that mark advancement in methodology or evaluation. In contrast, our component analysis reviews 6 common dimensions from preprocessing to effectiveness. A key conclusion is that an era of evaluation is the newest trend in ASAG research, which is paving the way for the consolidation of the field."
"Socio-Cultural Imbalances in AIED Research: Investigations, Implications and Opportunities","International Journal of Artificial Intelligence in Education","volume25","204","228","2015","Blanchard, E.G. Socio-Cultural Imbalances in AIED Research: Investigations, Implications and Opportunities. Int J Artif Intell Educ 25, 204–228 (2015). https://doi.org/10.1007/s40593-014-0027-7","This paper investigates international representations in the Artificial Intelligence in Education (AIED) research field. Its methodological and theoretical groundings are inspired by Arnett (2008) and Henrich et al. (2010a) who addressed the same issue in psychology, and respectively a) discovered massive imbalances in representation in top-tier psychology journals, and b) clarified risks of this situation. Data on research production collected on 2 top-tiers AIED conferences indicate that relatively similar imbalances exist in AIED. Potential threats and challenges induced by that situation are discussed as well as additionally identified phenomena related to the culture of the AIED community."
"Intelligent Tutoring Systems by and for the Developing World: A Review of Trends and Approaches for Educational Technology in a Global Context","International Journal of Artificial Intelligence in Education","volume25","177","203","2015","Nye, B.D. Intelligent Tutoring Systems by and for the Developing World: A Review of Trends and Approaches for Educational Technology in a Global Context. Int J Artif Intell Educ 25, 177–203 (2015). https://doi.org/10.1007/s40593-014-0028-6","As information and communication technology access expands in the developing world, learning technologies have the opportunity to play a growing role to enhance and supplement strained educational systems. Intelligent tutoring systems (ITS) offer strong learning gains, but are a class of technology traditionally designed for most-developed countries. Recently, closer consideration has been made to ITS targeting the developing world and to culturally-adapted ITS. This paper presents findings from a systematic literature review that focused on barriers to ITS adoption in the developing world. While ITS were the primary focus of the review, the implications likely apply to a broader range of educational technology as well. The geographical and economic landscape of tutoring publications is mapped out, to determine where tutoring systems research occurs. Next, the paper discusses challenges and promising solutions for barriers to ITS within both formal and informal settings. These barriers include student basic computing skills, hardware sharing, mobile-dominant computing, data costs, electrical reliability, internet infrastructure, language, and culture. Differences and similarities between externally-developed and locally-developed tutoring system research for the developing world are then considered. Finally, this paper concludes with some potential future directions and opportunities for research on tutoring systems and other educational technologies on the global stage."
"Designing a Knowledge Representation Approach for the Generation of Pedagogical Interventions by MTTs","International Journal of Artificial Intelligence in Education","volume25","118","156","2015","Paquette, L., Lebeau, J., Beaulieu, G. et al. Designing a Knowledge Representation Approach for the Generation of Pedagogical Interventions by MTTs. Int J Artif Intell Educ 25, 118–156 (2015). https://doi.org/10.1007/s40593-014-0030-z","Model-tracing tutors (MTTs) have proven effective for the tutoring of well-defined tasks, but the pedagogical interventions they produce are limited and usually require the inclusion of pedagogical content, such as text message templates, in the model of the task. The capability to generate pedagogical content would be beneficial to MTT frameworks, as it would lessen the task-specific efforts and could lead to the capability of providing more sophisticated pedagogical interventions. In this paper, we show how Astus, as an MTT framework, strive to attain a higher level of automation when generating pedagogical interventions compared to other MTT frameworks such as TDK and CTAT’s MTTs. This is achieved by designing a knowledge representation approach in which each type of knowledge unit has a clearly defined semantic on which the MTT’s pedagogical module can rely on. We explain how this knowledge representation approach is implemented as a knowledge-based system in ASTUS and show how it allows the development of MTTs that can automatically generate the pedagogical content required to provide next-step hints and negative feedback on errors. Multiple small-scale experiments were conducted with computer science undergraduate students in order to obtain a preliminary assessment of the effectiveness of Astus’s pedagogical interventions."
"Learning to Overcome Cultural Conflict through Engaging with Intelligent Agents in Synthetic Cultures","International Journal of Artificial Intelligence in Education","volume25","291","317","2015","Hall, L., Tazzyman, S., Hume, C. et al. Learning to Overcome Cultural Conflict through Engaging with Intelligent Agents in Synthetic Cultures. Int J Artif Intell Educ 25, 291–317 (2015). https://doi.org/10.1007/s40593-014-0031-y","Providing opportunities for children to engage with intercultural learning has frequently focused on exposure to the ritual, celebrations and festivals of cultures, with the view that such experiences will result in greater acceptance of cultural differences. Intercultural conflict is often avoided, bringing as it does particular pedagogical, ethical and political dilemmas of which cultures we place in conflict in the multicultural classroom. In this paper we discuss an alternative approach, providing children with an interactive learning experience with synthetic cultures and characters. The agent architecture developed to enable intelligent agents to exhibit culturally appropriate affect and behaviours is outlined. MIXER, an experiential learning application developed for 9–11 year old children on intercultural conflict is described, highlighting the learning goals and approaches. A school-based evaluation of MIXER with 144 UK children is presented. Children demonstrated high levels of comprehension, engagement and enjoyment of MIXER, with MIXER contributing to near and far transfer, supporting children’s cognitive, emotional and behavioural learning and stimulating discussion and debate about how to resolve conflict."
"Intelligent Augmented Reality Training for Motherboard Assembly","International Journal of Artificial Intelligence in Education","volume25","157","172","2015","Westerfield, G., Mitrovic, A. & Billinghurst, M. Intelligent Augmented Reality Training for Motherboard Assembly. Int J Artif Intell Educ 25, 157–172 (2015). https://doi.org/10.1007/s40593-014-0032-x","We investigate the combination of Augmented Reality (AR) with Intelligent Tutoring Systems (ITS) to assist with training for manual assembly tasks. Our approach combines AR graphics with adaptive guidance from the ITS to provide a more effective learning experience. We have developed a modular software framework for intelligent AR training systems, and a prototype based on this framework that teaches novice users how to assemble a computer motherboard. An evaluation found that our intelligent AR system improved test scores by 25 % and that task performance was 30 % faster compared to the same AR training system without intelligent support. We conclude that using an intelligent AR tutor can significantly improve learning compared to more traditional AR training."
"Dynamic Cultural Contextualisation of Educational Content in Intelligent Learning Environments using ICON","International Journal of Artificial Intelligence in Education","volume25","249","270","2015","Mohammed, P., Mohan, P. Dynamic Cultural Contextualisation of Educational Content in Intelligent Learning Environments using ICON. Int J Artif Intell Educ 25, 249–270 (2015). https://doi.org/10.1007/s40593-014-0033-9","Cultural awareness, when applied to Intelligent Learning Environments (ILEs), contours the overall appearance, behaviour, and content used in these systems through the use of culturally-relevant student data and information. In most cases, these adaptations are system-initiated with little to no consideration given to student-initiated control over the extent of cultural-awareness being used. This paper examines some of the issues relevant to these challenges through the development of the ICON (Instructional Cultural cONtextualisation) system. The paper explores computational approaches for modelling the diversity of students within subcultures, and the necessary semantic formalisms for representing and reasoning about cultural backgrounds at an appropriate level of granularity for ILEs. The paper investigates how student-initiated control of dynamic cultural adaptation of educational content can be achieved in ILEs, and examines the effects of cultural variations of language formality and contextualisation on student preferences for different types of educational content. Evaluations revealed preliminary insight into quantifiable thresholds at which student perception for specific types of culturally-contextualised content vary. The findings further support the notion put forth in the paper that student-initiated control of cultural contextualisation should be featured in ILEs aiming to cater for diverse groups of students."
"Towards Understanding How to Assess Help-Seeking Behavior Across Cultures","International Journal of Artificial Intelligence in Education","volume25","229","248","2015","Ogan, A., Walker, E., Baker, R. et al. Towards Understanding How to Assess Help-Seeking Behavior Across Cultures. Int J Artif Intell Educ 25, 229–248 (2015). https://doi.org/10.1007/s40593-014-0034-8","In recent years, there has been increasing interest in automatically assessing help seeking, the process of referring to resources outside of oneself to accomplish a task or solve a problem. Research in the United States has shown that specific help-seeking behaviors led to better learning within intelligent tutoring systems. However, intelligent tutors are used differently by students in different countries, raising the question of whether the same help-seeking behaviors are effective and desirable in different cultural settings. To investigate this question, models connecting help-seeking behaviors with learning were generated from datasets from students in three countries – Costa Rica, the Philippines, and the United States, as well as a combined dataset from all three sites. Each model was tested on data from the other countries. This study found that models of effective help seeking transfer to some degree between the United States and Philippines, but not between those countries and Costa Rica. Differences may be explained by variations in classroom practices between the sites; for example, greater collaboration observed in the Costa Rican site indicates that much help seeking occurred outside of the technology. Findings indicate that greater care should be taken when assuming that the models underlying AIED systems generalize across cultures and contexts."
